"","Name","Team","playerid","name_last","name_first","name_given","mlbid","birthday"
"59","Sonny Gray","- - -","12768","Gray","Sonny","Sonny Douglas",543243,1989-11-07
"60","Kyle Gibson","Twins","10123","Gibson","Kyle","Kyle Benjamin",502043,1987-10-23
"61","Andrew Heaney","Angels","15423","Heaney","Andrew","Andrew M.",571760,1991-06-05
"62","Masahiro Tanaka","Yankees","15764","Tanaka","Masahiro","Masahiro",547888,1988-11-01
"63","Nick Pivetta","Phillies","15454","Pivetta","Nick","Nicholas Johncarlo",601713,1993-02-14
"64","Jordan Montgomery","Yankees","16511","Montgomery","Jordan","Jordan Blackmon",656756,1992-12-27
"65","Shane Bieber","Indians","19427","Bieber","Shane","Shane Robert",669456,1995-05-31
"66","Rick Porcello","Red Sox","2717","Porcello","Rick","Frederick Alfred",519144,1988-12-27
"67","Corey Knebel","Brewers","15010","Knebel","Corey","Corey Andrew",608349,1991-11-26
"68","Josh Hader","Brewers","14212","Hader","Josh","Josh Ronald",623352,1994-04-07
"69","Zach Davies","Brewers","13183","Davies","Zach","Zachary Ryan",605200,1993-02-07
"70","David Price","Red Sox","3184","Price","David","David Taylor",456034,1985-08-26
"71","Dylan Bundy","Orioles","12917","Bundy","Dylan","Dylan Matthew",605164,1992-11-15
"72","Jon Lester","Cubs","4930","Lester","Jon","Jonathan Tyler",452657,1984-01-07
"73","Vince Velasquez","Phillies","11189","Velasquez","Vince","Vincent John",592826,1992-06-07
"74","Rich Hill","Dodgers","4806","Hill","Rich","Richard Joseph",448179,1980-03-11
"75","Jhoulys Chacin","Brewers","2608","Chacin","Jhoulys","Jhoulys Jose",468504,1988-01-07
"76","Kenta Maeda","Dodgers","18498","Maeda","Kenta","Kenta",628317,1988-04-11
"77","Jake Odorizzi","Twins","6397","Odorizzi","Jake","Jacob Todd",543606,1990-03-27
"78","Trevor Williams","Pirates","16977","Williams","Trevor","Trevor Anthony",592866,1992-04-25
"79","Marco Estrada","Blue Jays","1118","Estrada","Marco","Marco Rene",462136,1983-07-05
"80","Pat Neshek","- - -","4682","Neshek","Pat","Patrick John",450212,1980-09-04
"81","Taijuan Walker","Diamondbacks","11836","Walker","Taijuan","Taijuan Emmanuel",592836,1992-08-13
"82","Tanner Roark","Nationals","8753","Roark","Tanner","Tanner B.",543699,1986-10-05
"83","Kevin Gausman","Orioles","14107","Gausman","Kevin","Kevin John",592332,1991-01-06
"84","Jose Leclerc","Rangers","14524","Leclerc","Jose","Jose Ramon",600917,1993-12-19
"85","CC Sabathia","Yankees","404","Sabathia","CC","Carsten Charles",282332,1980-07-21
"86","Brad Keller","Royals","15734","Keller","Brad","Brad Michael",641745,1995-07-27
"87","Chad Green","Yankees","15552","Green","Chad","Chad Keith",643338,1991-05-24
"88","Anibal Sanchez","Braves","3284","Sanchez","Anibal","Anibal Alejandro",434671,1984-02-27
"89","Jake Arrieta","Cubs","4153","Arrieta","Jake","Jacob Joseph",453562,1986-03-06
"90","Tyler Skaggs","Angels","10190","Skaggs","Tyler","Tyler Wayne",572140,1991-07-13
"91","Brandon McCarthy","Dodgers","4662","McCarthy","Brandon","Brandon Patrick",435221,1983-07-07
"92","Clayton Richard","Padres","3551","Richard","Clayton","Clayton Colby",453385,1983-09-12
"93","Andrew Miller","Indians","6785","Miller","Andrew","Andrew Mark",453192,1985-05-21
"94","Jack Flaherty","Cardinals","17479","Flaherty","Jack","Jack Rafe",656427,1995-10-15
"95","Eduardo Rodriguez","Red Sox","13164","Rodriguez","Eduardo","Eduardo Jose",593958,1993-04-07
"96","Alex Cobb","Rays","6562","Cobb","Alex","Alexander Miller",502171,1987-10-07
"97","Ross Stripling","Dodgers","13273","Stripling","Ross","Thomas Ross",548389,1989-11-23
"98","Craig Stammen","Padres","7274","Stammen","Craig","Craig N.",489334,1984-03-09
"99","Nathan Eovaldi","- - -","9132","Eovaldi","Nathan","Nathan Edward",543135,1990-02-13
"100","Sean Manaea","Athletics","15873","Manaea","Sean","Sean Anthony",640455,1992-02-01
"101","Danny Salazar","Indians","5867",NA,NA,NA,NA,NA
"102","Yusmeiro Petit","Angels","4020","Petit","Yusmeiro","Yusmeiro Alberto",433589,1984-11-22
"103","Zach Eflin","Phillies","13774","Eflin","Zach","Zachary Adams",621107,1994-04-08
"104","Josh Tomlin","Indians","9388","Tomlin","Josh","Joshua Aubry",458708,1984-10-19
"105","Mike Minor","Rangers","10021","Minor","Mike","Michael David",501985,1987-12-26
"106","Anthony Swarzak","- - -","7466","Swarzak","Anthony","Anthony Ray",461872,1985-09-10
"107","Jason Hammel","Royals","4538","Hammel","Jason","Jason Aaron",434628,1982-09-02
"108","Felipe Vazquez","Pirates","12076","Vazquez","Felipe","Felipe Javier",553878,1991-07-05
"109","Joe Musgrove","Pirates","12970","Musgrove","Joe","Joseph Anthony",605397,1992-12-04
"110","Tommy Kahnle","- - -","11384","Kahnle","Tommy","Thomas Robert",592454,1989-08-07
"111","Archie Bradley","Diamondbacks","12918","Bradley","Archie","Archie N.",605151,1992-08-10
"112","Jaime Garcia","- - -","8137","Garcia","Jaime","Jaime Omar",448802,1986-07-08
"113","Martin Perez","Rangers","6902","Perez","Martin","Martin",527048,1991-04-04
"114","Derek Holland","Giants","4141","Holland","Derek","Derek Lane",502706,1986-10-09
"115","Hyun-Jin Ryu","Dodgers","14444","Ryu","Hyun-Jin","Hyun-Jin",547943,1987-03-25
"116","Matthew Boyd","Tigers","15440","Boyd","Matt","Matthew Robert",571510,1991-02-02
"117","Andrew Cashner","Rangers","8782","Cashner","Andrew","Andrew Burton",488768,1986-09-11
"118","Dan Straily","Marlins","9460","Straily","Dan","Daniel Steven",573185,1988-12-01
"119","Adam Ottavino","Rockies","1247","Ottavino","Adam","Adam Robert",493603,1985-11-22
"120","Jose Alvarado","Rays","17780","Alvarado","Jose","Jose Antonio",621237,1995-05-21
"121","Reynaldo Lopez","White Sox","16400","Lopez","Reynaldo","Reynaldo Starling",625643,1994-01-04
"122","Ivan Nova","Pirates","1994","Nova","Ivan","Ivan Manuel",467100,1987-01-12
"123","Cole Hamels","- - -","4972","Hamels","Cole","Colbert Michael",430935,1983-12-27
"124","Trevor Cahill","Athletics","6249","Cahill","Trevor","Trevor John",502239,1988-03-01
"125","Will Smith","Giants","8048","Smith","Will","William Michael",519293,1989-07-10
"126","Tyler Anderson","Rockies","12880","Anderson","Tyler","Tyler John",542881,1989-12-30
"127","Ryan Madson","- - -","1852","Madson","Ryan","Ryan Michael",425492,1980-08-28
"128","Chad Kuhl","Pirates","14975","Kuhl","Chad","Chad Michael",641771,1992-09-10
"129","Clay Buchholz","Diamondbacks","3543","Buchholz","Clay","Clay Daniel",453329,1984-08-14
"130","Aroldis Chapman","Yankees","10233","Chapman","Aroldis","Albertin Aroldis",547973,1988-02-28
"131","Sean Newcomb","Braves","16943","Newcomb","Sean","Sean William",656794,1993-06-12
"132","Luis Castillo","Reds","15689","Castillo","Luis","Luis Miguel",622491,1992-12-12
"133","Taylor Rogers","Twins","13449","Rogers","Taylor","Taylor Allen",573124,1990-12-17
"134","Sean Doolittle","Nationals","1581","Doolittle","Sean","Sean Robert",448281,1986-09-26
"135","Ryan Pressly","- - -","7005","Pressly","Ryan","Thomas Ryan",519151,1988-12-15
"136","David Robertson","- - -","8241","Robertson","David","David Alan",502085,1985-04-09
"137","Joakim Soria","- - -","6941","Soria","Joakim","Joakim Agustin",465657,1984-05-18
"138","Ken Giles","Astros","12910","Giles","Ken","Kenneth Robert",571704,1990-09-20
"139","Jeremy Jeffress","Brewers","9490","Jeffress","Jeremy","Jeremy Ross",502026,1987-09-21
"140","Dellin Betances","Yankees","6216","Betances","Dellin","Dellin",476454,1988-03-23
"141","Joe Smith","- - -","3281","Smith","Joe","Joseph Michael",501925,1984-03-22
"142","Jeurys Familia","- - -","5114","Familia","Jeurys","Jeurys",544727,1989-10-10
"143","Raisel Iglesias","Reds","17130","Iglesias","Raisel","Raisel",628452,1990-01-04
"144","Jerad Eickhoff","Phillies","12664","Eickhoff","Jerad","Jerad Joseph",595191,1990-07-02
"145","Kirby Yates","Padres","9073","Yates","Kirby","Kirby Kali",489446,1987-03-25
"146","Jose Urena","Marlins","11589","Urena","Jose","Jose Miguel",570632,1991-09-12
"147","Nick Vincent","Mariners","7555","Vincent","Nick","Nicholas James",543883,1986-07-12
"148","Tony Watson","Giants","3132","Watson","Tony","Anthony Michael",453265,1985-05-30
"149","Ryan Borucki","Blue Jays","16350","Borucki","Ryan","Ryan Joseph",621366,1994-03-31
"150","Dereck Rodriguez","Giants","14509","Rodriguez","Dereck","Ivan Dereck",605446,1992-06-05
"151","Mychal Givens","Orioles","10430","Givens","Mychal","Mychal Antonio",571710,1990-05-13
"152","Brad Hand","Padres","9111","Hand","Brad","Bradley Richard",543272,1990-03-20
"153","Alex Claudio","Rangers","12890","Claudio","Alex","Alexander",592222,1992-01-31
"154","Luis Perdomo","Padres","14682","Perdomo","Luis","Luis David",606131,1993-05-09
"155","Seth Lugo","Mets","12447","Lugo","Seth","Jacob Seth",607625,1989-11-17
"156","Madison Bumgarner","Giants","5524","Bumgarner","Madison","Madison Kyle",518516,1989-08-01
"157","Wade LeBlanc","Mariners","5221","LeBlanc","Wade","Wade Matthew",453281,1984-08-07
"158","Junior Guerra","Brewers","5702","Guerra","Junior","Junior J.",448855,1985-01-16
"159","Robbie Erlin","Padres","10354","Erlin","Robbie","Robert Joseph",572362,1990-10-08
"160","Brandon Morrow","Dodgers","9346","Morrow","Brandon","Brandon John",453344,1984-07-26
"161","Blake Parker","Angels","5224","Parker","Blake","Richard Blake",453284,1985-06-19
"162","Jason Vargas","Royals","8044","Vargas","Jason","Jason Matthew",450306,1983-02-02
"163","Trevor Rosenthal","Cardinals","10745",NA,NA,NA,NA,NA
"164","R.A. Dickey","Braves","1245",NA,NA,NA,NA,NA
"165","Bryan Shaw","Indians","8110","Shaw","Bryan","Bryan Anthony",543766,1987-11-08
"166","Brent Suter","Brewers","13942","Suter","Brent","Brent Michael",608718,1989-08-29
"167","Dominic Leone","Blue Jays","13763","Leone","Dominic","Dominic Joseph",608678,1991-10-26
"168","Adam Wainwright","Cardinals","2233","Wainwright","Adam","Adam Parrish",425794,1981-08-30
"169","Cody Allen","Indians","12183","Allen","Cody","Cody Edward",592102,1988-11-20
"170","Wade Miley","Brewers","8779","Miley","Wade","Wade Allen",489119,1986-11-13
"171","Jake McGee","Rockies","7550","McGee","Jake","Jacob Daniel",459429,1986-08-06
"172","Juan Nicasio","- - -","7731","Nicasio","Juan","Juan Ramon",504379,1986-08-31
"173","Matt Harvey","- - -","11713","Harvey","Matt","Matthew Edward",518774,1989-03-27
"174","A.J. Minter","Braves","18655","Minter","A. J.","Alex Jordan",621345,1993-09-02
"175","Collin McHugh","Astros","7531","McHugh","Collin","Collin Alexander",543521,1987-06-19
"176","Antonio Senzatela","Rockies","15488","Senzatela","Antonio","Antonio",622608,1995-01-21
"177","Doug Fister","Red Sox","9425","Fister","Doug","Douglas Wildes",450729,1984-02-04
"178","Mike Montgomery","Cubs","4869","Montgomery","Mike","Michael Paul",543557,1989-07-01
"179","Luke Weaver","Cardinals","16918","Weaver","Luke","Luke Allen",596133,1993-08-21
"180","Chris Devenski","Astros","12763","Devenski","Chris","Christopher Michael",606965,1990-11-13
"181","Trevor Richards","Marlins","19309","Richards","Trevor","Trevor Michael",670950,1993-05-15
"182","Joe Jimenez","Tigers","15761","Jimenez","Joe","Joe Alexander",641729,1995-01-17
"183","Fernando Rodney","Diamondbacks","494","Rodney","Fernando","Fernando",407845,1977-03-18
"184","Joe Biagini","Blue Jays","13194","Biagini","Joe","Joseph Carlo",607352,1990-05-29
"185","Mike Fiers","- - -","7754","Fiers","Mike","Michael Bruce",571666,1985-06-15
"186","Dinelson Lamet","Padres","17186",NA,NA,NA,NA,NA
"187","Felix Pena","Angels","13403","Pena","Felix","Felix Ricardo",570240,1990-02-25
"188","Hector Rondon","Astros","2391","Rondon","Hector","Hector Luis",444468,1988-02-26
"189","Matt Barnes","Red Sox","12863","Barnes","Matt","Matthew D.",598264,1990-06-17
"190","Miguel Gonzalez","- - -","7024","Gonzalez","Miguel","Miguel Angel",456068,1984-05-27
"191","Sal Romano","Reds","13690","Romano","Sal","Salvatore J.",607219,1993-10-12
"192","Seranthony Dominguez","Phillies","19249","Dominguez","Seranthony","Seranthony Ambioris",622554,1994-11-25
"193","Scott Oberg","Rockies","13911","Oberg","Scott","Scott Michael",623184,1990-03-13
"194","Jonathan Holder","Yankees","16588","Holder","Jonathan","Jonathan Blake",656547,1993-06-09
"195","Jakob Junis","Royals","13619","Junis","Jakob","Jakob Benjamin Lee",596001,1992-09-16
"196","Keone Kela","- - -","14696","Kela","Keone","Keone Cole",605309,1993-04-16
"197","Jake Faria","Rays","13699","Faria","Jake","Jacob Daniel",607188,1993-07-30
"198","Jaime Barria","Angels","18356","Barria","Jaime","Jaime Jonathan",642545,1996-07-18
"199","Jesse Hahn","Athletics","13287","Hahn","Jesse","Jesse Allen",534910,1989-07-30
"200","Richard Rodriguez","Pirates","13549","Rodriguez","Richard","Richard Agustin",593144,1990-03-04
"201","Freddy Peralta","Brewers","18679","Peralta","Freddy","Freddy",642547,1996-06-04
"202","Blaine Hardy","Tigers","6499","Hardy","Blaine","Blaine Patrick",543278,1987-03-14
"203","Daniel Norris","Tigers","13475","Norris","Daniel","Daniel David",596057,1993-04-25
"204","Jace Fry","White Sox","16159","Fry","Jace","Jace Hayden",605240,1993-07-09
"205","Caleb Smith","Marlins","14875","Smith","Caleb","Caleb Anthony",592761,1991-07-28
"206","Adam Warren","Yankees","9029","Warren","Adam","Adam Parrish",476589,1987-08-25
"207","Ty Blach","Giants","14361","Blach","Ty","Tyson Michael",621389,1990-10-20
"208","Randall Delgado","Diamondbacks","5985","Delgado","Randall","Randall Enrique",517414,1990-02-09
"209","Jose Alvarez","Angels","5358","Alvarez","Jose","Jose Ricardo",501625,1989-05-06
"210","Alex Colome","Rays","6661","Colome","Alex","Alexander Manuel",517008,1988-12-31
"211","Johnny Cueto","Giants","6893","Cueto","Johnny","Johnny",456501,1986-02-15
"212","Jesse Chavez","- - -","5448","Chavez","Jesse","Jesse David",445926,1983-08-21
"213","Rafael Montero","Mets","12760",NA,NA,NA,NA,NA
"214","Will Harris","Astros","3192","Harris","Will","William Taylor",501789,1984-08-28
"215","Dan Winkler","Braves","12237","Winkler","Dan","Daniel Allen",595465,1990-02-02
"216","Jeremy Hellickson","Nationals","4371","Hellickson","Jeremy","Jeremy Robert",476451,1987-04-08
"217","Seung Hwan Oh","- - -","18719","Oh","Seunghwan","Seunghwan",493200,1982-07-15
"218","Edubray Ramos","Phillies","16086","Ramos","Edubray","Edubray Eduar",591693,1992-12-19
"219","Wei-Yin Chen","Marlins","13071","Chen","Wei-Yin","Wei-Yin",612672,1985-07-21
"220","Luis Garcia","Phillies","6984","Garcia","Luis","Luis Amado",472610,1987-01-30
"221","Jared Hughes","Reds","9325","Hughes","Jared","William Jared",453172,1985-07-04
"222","Tommy Hunter","Rays","1157","Hunter","Tommy","Raymond Thomas",488984,1986-07-03
"223","John Gant","Cardinals","13684","Gant","John","John Michael",607231,1992-08-06
"224","Ryne Stanek","Rays","15947","Stanek","Ryne","Ryne Thomas",592773,1991-07-26
"225","Kendall Graveman","Athletics","15514","Graveman","Kendall","Kendall Chase",608665,1990-12-21
"226","Scott Alexander","Royals","10591","Alexander","Scott","Scott Alain",518397,1989-07-10
"227","Yonny Chirinos","Rays","16401","Chirinos","Yonny","Yonny Enrique",630023,1993-12-26
"228","Joey Lucchesi","Padres","19320","Lucchesi","Joey","Joseph George",664192,1993-06-06
"229","Brad Brach","Orioles","6627","Brach","Brad","Brad",542960,1986-04-12
"230","JC Ramirez","Angels","8302","Ramirez","J. C.","Juan Carlos",500724,1988-08-16
"231","Dylan Covey","White Sox","14825","Covey","Dylan","Dylan Charles",592229,1991-08-14
"232","Chris Rusin","Rockies","9895","Rusin","Chris","Christopher Patrick",543734,1986-10-22
"233","Brett Cecil","Cardinals","2660","Cecil","Brett","Brett Aarion",446399,1986-07-02
"234","Michael Pineda","Yankees","5372","Pineda","Michael","Michael Francisco",501381,1989-01-18
"235","David Hernandez","- - -","4259","Hernandez","David","David Jose",456696,1985-05-13
"236","Carl Edwards Jr.","Cubs","13607","Edwards","Carl","Carl Fleming",605218,1991-09-03
"237","Tyler Chatwood","Rockies","4338","Chatwood","Tyler","Tyler Cole",543022,1989-12-16
"238","Wade Davis","Cubs","7441","Davis","Wade","Wade Allen",451584,1985-09-07
"239","Adalberto Mejia","Twins","13188","Mejia","Adalberto","Adalberto",606167,1993-06-20
"240","Julio Teheran","Braves","6797","Teheran","Julio","Julio Alberto",527054,1991-01-27
"241","Parker Bridwell","Angels","11502","Bridwell","Parker","Parker Alan",592170,1991-08-02
"242","Greg Holland","Rockies","7196","Holland","Greg","Gregory Scott",518813,1985-11-20
"243","Jeff Hoffman","Rockies","17432","Hoffman","Jeff","Jeffrey Robert",656546,1993-01-08
"244","Erasmo Ramirez","- - -","10314","Ramirez","Erasmo","Erasmo Jose",541640,1990-05-02
"245","Justin Wilson","- - -","4301","Wilson","Justin","Justin James",458677,1987-08-18
"246","Oliver Perez","Indians","1514","Perez","Oliver","Oliver",424144,1981-08-15
"247","Andrew Chafin","Diamondbacks","12988","Chafin","Andrew","Andrew Gregory",605177,1990-06-17
"248","Shohei Ohtani","Angels","19755","Ohtani","Shohei","Shohei",660271,1994-07-05
"249","Tyler Lyons","Cardinals","11334","Lyons","Tyler","Tyler William",544928,1988-02-21
"250","Diego Castillo","Rays","17496","Castillo","Diego","Diego",650895,1994-01-18
"251","Tyson Ross","- - -","7872","Ross","Tyson","Tyson William",475115,1987-04-22
"252","Jordan Zimmermann","Tigers","4505","Zimmermann","Jordan","Jordan M.",519455,1986-05-23
"253","Reyes Moronta","Giants","14966","Moronta","Reyes","Reyes Armando",606625,1993-01-06
"254","Garrett Richards","Angels","9784","Richards","Garrett","Garrett Thomas",572070,1988-05-27
"255","Hector Neris","Phillies","11804","Neris","Hector","Hector",593576,1989-06-14
"256","Dylan Floro","- - -","13394","Floro","Dylan","Dylan Lee",571670,1990-12-27
"257","Ryan Tepera","Blue Jays","10291","Tepera","Ryan","Dennis Ryan",572193,1987-11-03
"258","Alex Meyer","Angels","12833",NA,NA,NA,NA,NA
"259","Brandon Kintzler","- - -","9939","Kintzler","Brandon","Brandon Lee",445213,1984-08-01
"260","Luiz Gohara","Braves","15166","Gohara","Luiz","Luiz Henrique",627894,1996-07-31
"261","Andrew Suarez","Giants","18300","Suarez","Andrew","Andrew Jose",605498,1992-09-11
"262","Liam Hendriks","Athletics","3548","Hendriks","Liam","Liam Johnson",521230,1989-02-10
"263","Edinson Volquez","Marlins","3990",NA,NA,NA,NA,NA
"264","Ian Kennedy","Royals","6986","Kennedy","Ian","Ian Patrick",453178,1984-12-19
"265","Matt Moore","Giants","1890","Moore","Matt","Matthew Cody",519043,1989-06-18
"266","Pedro Strop","Cubs","4070","Strop","Pedro","Pedro Angel",467008,1985-06-13
"267","Kyle Crick","Pirates","13182","Crick","Kyle","Kyle Daniel",605195,1992-11-30
"268","Roenis Elias","Mariners","12673","Elias","Roenis","Roenis",606273,1988-08-01
"269","Addison Reed","- - -","10586","Reed","Addison","Addison Devon",592665,1988-12-27
"270","Zach Duke","- - -","3840","Duke","Zach","Zachary Thomas",435043,1983-04-19
"271","Jerry Blevins","Mets","7841","Blevins","Jerry","Jerry Richard",460283,1983-09-06
"272","Domingo German","Yankees","17149","German","Domingo","Domingo",593334,1992-08-04
"273","Tony Sipp","Astros","8280","Sipp","Tony","Tony Marcel",448609,1983-07-12
"274","Frankie Montas","Athletics","14309","Montas","Frankie","Francelis",593423,1993-03-21
"275","Jose Castillo","Padres","17169","Castillo","Jose","Jose Gregorio",620454,1996-01-10
"276","Brett Anderson","Athletics","8223","Anderson","Brett","Brett Franklin",474463,1988-02-01
"277","Matt Strahm","Padres","13799","Strahm","Matt","Matthew Scott",621381,1991-11-12
"278","Matt Garza","Brewers","3340",NA,NA,NA,NA,NA
"279","Matt Albers","Nationals","4300","Albers","Matt","Matthew James",458006,1983-01-20
"280","Sam Gaviglio","Blue Jays","12778","Gaviglio","Sam","Samuel Joseph",543208,1990-05-22
"281","Luis Avilan","- - -","2882","Avilan","Luis","Luis Armando",501593,1989-07-19
"282","James Shields","White Sox","7059","Shields","James","James Anthony",448306,1981-12-20
"283","Eric Lauer","Padres","19316","Lauer","Eric","Eric Lance",641778,1995-06-03
"284","Emilio Pagan","Mariners","14771","Pagan","Emilio","Emilio Enrique",641941,1991-05-07
"285","Pedro Baez","Dodgers","5420","Baez","Pedro","Pedro Alberys",520980,1988-03-11
"286","Adam Kolarek","Rays","10843","Kolarek","Adam","Adam John",592473,1989-01-14
"287","Darren O'Day","Orioles","3321","O'Day","Darren","Darren Christopher",503285,1982-10-22
"288","Steve Cishek","Cubs","6483","Cishek","Steve","Steven R.",518553,1986-06-18
"289","Austin Gomber","Cardinals","16561","Gomber","Austin","Austin Zachary",596295,1993-11-23
"290","Trevor Hildenberger","Twins","17002","Hildenberger","Trevor","Trevor Sean",657610,1990-12-15
"291","Richard Bleier","Orioles","7803","Bleier","Richard","Richard Sidney",542947,1987-04-16
"292","Ricky Nolasco","Angels","3830",NA,NA,NA,NA,NA
"293","Francisco Liriano","- - -","3201","Liriano","Francisco","Francisco Casillas",434538,1983-10-26
"294","Victor Arano","Phillies","15915","Arano","Victor","Victor Teodoro",644364,1995-02-07
"295","Hunter Strickland","Giants","7836","Strickland","Hunter","Hunter Drew",519326,1988-09-24
"296","Ty Buttrey","Angels","14719","Buttrey","Ty","Ty Douglas",621142,1993-03-31
"297","Steven Matz","Mets","13361","Matz","Steven","Steven Jakob",571927,1991-05-29
"298","Adam Cimber","- - -","15288","Cimber","Adam","Adam Christian",643256,1990-08-15
"299","Ryan Yarbrough","Rays","16502","Yarbrough","Ryan","Ryan Christian",642232,1991-12-31
"300","Ben Lively","Phillies","14932","Lively","Ben","Edward Bennett",594902,1992-03-05
"301","Brian Duensing","Cubs","4064","Duensing","Brian","Brian Matthew",488846,1983-02-22
"302","Fernando Romero","Twins","15885","Romero","Fernando","Fernando Ernesto",622864,1994-12-24
