"","Name","Team","birthday","mlbid","playerid"
"34","Adalberto Pena","- - -",1995-03-11,664592,"sa873174"
"35","Adam Atkins","- - -",1993-09-08,670105,"sa918491"
"36","Adam Bleday","- - -",1994-11-02,664010,"sa3004085"
"37","Adam Bray","Twins (A+)",1993-04-14,665032,"sa876116"
"38","Adam Choplick","Rangers (AA)",1992-11-18,605179,"sa598307"
"39","Adam Cox","- - -",1995-08-31,682006,"sa3007616"
"40","Adam Hill","Mets (A-)",1997-03-24,663597,"sa876313"
"41","Adam Hofacket","- - -",1994-02-18,664102,"sa875282"
"42","Adam Kloffenstein","Blue Jays (R)",2000-08-25,680572,"sa3008578"
"43","Adam Lau","Red Sox (AA)",1994-07-05,665142,"sa876250"
"44","Adam Oller","- - -",1994-10-17,670124,"sa913099"
"45","Adam Parks","Rangers (AA)",1992-10-10,657710,"sa829657"
"46","Adam Ravenelle","Tigers (AA)",1992-10-05,605435,"sa602703"
"47","Adam Reuss","- - -",1995-03-14,662141,"sa3003993"
"48","Adam Scott","- - -",1995-10-10,681792,"sa3006826"
"49","Adam Stauffer","Orioles (R)",1999-01-13,676763,"sa3005146"
"50","Adam Wolf","- - -",1996-12-26,663684,"sa3007587"
"51","Adams Cuevas","Blue Jays (R)",1996-02-02,665920,"sa920823"
"52","Adan Frias","Royals (R)",1999-05-18,672644,"sa3003007"
"53","Adauri Vicente","Indians (R)",2000-12-18,683025,"sa3008473"
"54","Adbert Alzolay","Cubs (AAA)",1995-03-01,640470,"sa735853"
"55","Addison Russ","- - -",1994-10-29,676754,"sa3004106"
"56","Adenys Bautista","Indians (R)",1998-08-06,681723,"sa3007905"
"57","Adolfo Bauza","Tigers (R)",2000-09-27,678824,"sa3006384"
"58","Adolfo Ramirez","Dodgers (R)",1999-06-01,672666,"sa3003015"
"59","Adoni Kery","- - -",1996-02-18,668562,"sa947297"
"60","Adonis De La Cruz","Mariners (A)",1994-12-20,642472,"sa737023"
"61","Adonis Medina","Phillies (A+)",1996-12-18,658431,"sa832877"
"62","Adonis Paulino","Diamondbacks (R)",2000-03-11,681712,"sa3008042"
"63","Adonis Pichardo","Pirates (R)",1996-04-09,660571,"sa872561"
"64","Adonis Rosa","- - -",1994-11-17,650738,"sa828513"
"65","Adonis Uceta","- - -",1994-05-10,642637,"sa737486"
"66","Adriam Castillo","- - -",1998-11-19,666862,"sa921282"
"67","Adrian Alcantara","Royals (R)",1999-08-29,674220,"sa974592"
"68","Adrian Almeida","- - -",1995-02-25,622426,"sa658087"
"69","Adrian Aybar","Mets (R)",1998-03-08,679844,"sa3006505"
"70","Adrian Chacon","Reds (A)",1995-03-08,641450,"sa3004806"
"71","Adrian De Horta","- - -",1995-03-13,641506,"sa737857"
"72","Adrian Del Moral","Diamondbacks (A-)",1999-02-17,678298,"sa3006816"
"73","Adrian Hernandez","Blue Jays (R)",2000-01-22,681753,"sa3006177"
"74","Adrian Martinez","- - -",1996-12-10,661309,"sa873428"
"75","Adrian Martinez","Nationals (R)",1998-08-02,668570,"sa917158"
"76","Adrian Morejon","- - -",1999-02-27,670970,"sa969093"
"77","Adrian Navas","Rays (A+)",1996-04-13,640638,"sa735851"
"78","Adrian Rodriguez","- - -",1996-08-08,660427,"sa877346"
"79","Adrian Solano","Royals (R)",1999-10-17,678600,"sa3006488"
"80","Aiden McIntyre","- - -",1995-08-27,681942,"sa3007733"
"81","AJ Franks","- - -",1995-06-25,673869,"sa3005311"
"82","Akeem Bostick","- - -",1995-05-04,641384,"sa737616"
"83","Alan Mundo","Padres (R)",2000-05-27,678426,"sa3005688"
"84","Alan Perdomo","Rockies (R)",2001-08-24,679595,"sa3006399"
"85","Alan Rangel","Braves (A)",1997-08-21,660604,"sa877578"
"86","Alan Strong","Rays (A-)",1996-10-22,681841,"sa3006768"
"87","Albert Abreu","- - -",1995-09-26,656061,"sa828366"
"88","Albert Carrizo","Yankees (R)",1999-11-11,679452,"sa3007928"
"89","Albert Valdez","Tigers (R)",1999-07-05,673666,"sa3005336"
"90","Alberti Chavez","Reds (AA)",1995-07-21,622482,"sa657456"
"91","Alberto Baldonado","Cubs (AAA)",1993-02-01,593604,"sa550649"
"92","Alberto Franco","- - -",1994-08-16,677863,"sa3005179"
"93","Alberto Gonzalez","Reds (R)",1999-07-26,681298,"sa3007239"
"94","Alberto Guerrero","Marlins (A-)",1997-12-13,660674,"sa872514"
"95","Alberto Leyva","- - -",1996-11-29,668155,"sa914411"
"96","Alberto Querales","Mexican (AAA)",1988-04-07,667735,"sa913976"
"97","Alberto Tirado","Phillies (A+)",1994-12-10,610143,"sa659315"
"98","Alberto Torres","Phillies (R)",2001-04-28,678753,"sa3006130"
"99","Albinson Volquez","- - -",1997-08-16,667383,"sa916715"
"100","Aldemar Rivas","- - -",1999-01-21,672241,"sa3002674"
"101","Aldo Espinoza","Dodgers (R)",1998-09-11,665852,"sa917334"
"102","Aldo Montes","- - -",1990-02-02,594105,"sa547921"
"103","Aldo Ramirez","- - -",2001-05-06,680048,"sa3005371"
"104","Aldor Rodriguez","Rays (R)",1997-07-04,666009,"sa918039"
"105","Aldry Acosta","Dodgers (R)",1999-09-07,672755,"sa3002794"
"106","Alec Bettinger","- - -",1995-07-13,676424,"sa873670"
"107","Alec Byrd","Rockies (A-)",1995-03-31,641429,"sa738733"
"108","Alec Crawford","Brewers (A+)",1992-01-10,621171,"sa829357"
"109","Alec Hansen","- - -",1994-10-10,641662,"sa738344"
"110","Alec Kenilvort","Brewers (A+)",1993-01-07,656608,"sa829194"
"111","Alec Maley","- - -",1995-08-15,679682,"sa3007231"
"112","Alec Rennard","- - -",1995-05-06,674059,"sa3008226"
"113","Alejandro Arteaga","- - -",1994-04-30,608591,"sa602272"
"114","Alejandro Astorga","Mexican (AAA)",1987-03-14,456149,"sa508712"
"115","Alejandro Barraza","Mexican (AAA)",1990-10-25,573612,"sa503482"
"116","Alejandro Chavarria","- - -",1995-06-22,674503,"sa977121"
"117","Alejandro Chavez","Tigers (R)",1999-07-14,673238,"sa3003070"
"118","Alejandro Crisostomo","- - -",2000-09-11,678891,"sa3006387"
"119","Alejandro De La Rosa","- - -",1995-02-14,661400,"sa873448"
"120","Alejandro Made","Phillies (R)",1997-12-29,677660,"sa3005218"
"121","Alejandro Martinez","Phillies (R)",1998-05-08,680639,"sa3005871"
"122","Alejandro Martinez","Mexican (AAA)",1989-02-11,501480,"sa504008"
"123","Alejandro Mateo","Marlins (A+)",1994-01-18,670376,"sa918495"
"124","Alejandro Mejia","Rockies (R)",1998-07-02,672246,"sa3002923"
"125","Alejandro Melean","Blue Jays (R)",2000-10-11,678287,"sa3006815"
"126","Alejandro Requena","- - -",1996-11-29,650518,"sa828724"
"127","Alejandro Soto","Mexican (AAA)",1986-02-13,465038,"sa509749"
"128","Alejandro Vallejo","Nationals (R)",1998-11-04,674374,"sa3002619"
"129","Alejo Lopez","Reds (A)",1996-05-05,664670,"sa875851"
"130","Alex Aquino","Braves (R)",1996-07-06,659821,"sa872500"
"131","Alex Banks","Twins (R)",2000-10-07,680596,"sa3008236"
"132","Alex Blanco","Astros (R)",1997-10-03,677646,"sa3004868"
"133","Alex Bostic","Giants (R)",1994-11-14,641383,"sa918194"
"134","Alex Camacho","- - -",1996-07-29,682229,"sa3006994"
"135","Alex Delgado","- - -",1994-11-01,604596,"sa594882"
"136","Alex Demchak","Red Sox (A-)",1995-01-16,683123,"sa3008565"
"137","Alex DuBord","Giants (A-)",1996-12-04,681826,"sa3006979"
"138","Alex Eubanks","Rangers (A)",1995-09-13,676341,"sa3004663"
"139","Alex Faedo","- - -",1995-11-12,656412,"sa829855"
"140","Alex Fagalde","- - -",1994-04-29,676891,"sa3004602"
"141","Alex Gallegos","Cardinals (R)",1998-05-14,676156,"sa3008315"
"142","Alex Garcia","Phillies (R)",1996-06-16,676145,"sa3007469"
"143","Alex House","Astros (A-)",1996-08-24,656558,"sa915812"
"144","Alex Katz","- - -",1994-10-12,621355,"sa827486"
"145","Alex Klonowski","- - -",1992-04-01,657644,"sa829634"
"146","Alex Lange","Cubs (A+)",1995-10-02,656638,"sa3005280"
"147","Alex Manasa","Pirates (A-)",1998-01-06,676662,"sa3004213"
"148","Alex Mauricio","- - -",1996-09-24,676089,"sa3004337"
"149","Alex Mejias","- - -",1996-11-26,665623,"sa917876"
"150","Alex Palsha","Mets (A+)",1992-05-10,621179,"sa829433"
"151","Alex Perez","Twins (AA)",1992-10-24,664894,"sa858057"
"152","Alex Phillips","Twins (A+)",1994-12-16,641974,"sa3008595"
"153","Alex Powers","Reds (AA)",1992-02-26,641988,"sa621533"
"154","Alex Robinson","Twins (A+)",1994-08-11,621330,"sa827436"
"155","Alex Royalty","- - -",1997-03-19,681564,"sa3006825"
"156","Alex Scherff","- - -",1998-02-05,669085,"sa3005397"
"157","Alex Speas","Rangers (A)",1998-03-04,666208,"sa917945"
"158","Alex Troop","Nationals (A)",1996-07-19,675960,"sa915638"
"159","Alex Valdez","- - -",1999-12-24,677678,"sa3005432"
"160","Alex Valverde","Rays (A)",1996-09-26,663820,"sa3005207"
"161","Alex Vesia","- - -",1996-04-11,681911,"sa3008070"
"162","Alex Webb","Reds (A+)",1994-07-19,664032,"sa876242"
"163","Alex Wells","Orioles (A+)",1997-02-27,649144,"sa919319"
"164","Alex Winkelman","Astros (AA)",1994-02-08,664107,"sa874113"
"165","Alex Young","- - -",1993-09-09,622065,"sa658917"
"166","Alexander Guillen","Rockies (A+)",1995-11-23,642565,"sa737454"
"167","Alexander Hernandez","Rangers (R)",1998-03-20,671765,"sa945258"
"168","Alexander Martinez","Rockies (R)",1996-12-28,665631,"sa880047"
"169","Alexander Molina","Blue Jays (R)",2000-02-17,672503,"sa3002970"
"170","Alexander Montero","Red Sox (A-)",1997-09-21,677926,"sa3005222"
"171","Alexander Vargas","- - -",1997-07-24,658744,"sa835895"
"172","Alexander Vizcaino","- - -",1997-05-22,669805,"sa920272"
"173","Alexis Araujo","Phillies (R)",1999-01-07,673010,"sa3006098"
"174","Alexis Candelario","Mexican (AAA)",1982-05-28,445994,"sa3000055"
"175","Alexis Carmona","Blue Jays (R)",2001-03-24,678653,"sa3006375"
"176","Alexis Cedano","Athletics (R)",1997-11-12,680984,"sa3006641"
"177","Alexis Diaz","Reds (R)",1996-09-28,664747,"sa875576"
"178","Alexis Herrera","Phillies (R)",1999-05-06,675136,"sa3005120"
"179","Alexis Pantoja","Indians (AA)",1996-01-18,656822,"sa829182"
"180","Alexis Portillo","Mexican (AAA)",1995-01-17,666248,"sa3001065"
"181","Alexis Ramirez","- - -",1999-07-20,679359,"sa3006545"
"182","Alexis Rivero","- - -",1994-10-18,640485,"sa735860"
"183","Alexis Tapia","Rays (A+)",1995-08-10,629503,"sa737330"
"184","Alexuan Vega","Padres (R)",1999-06-22,681583,"sa3008334"
"185","Alfonso Hernandez","- - -",1999-08-03,669799,"sa917812"
"186","Alfred Gutierrez","- - -",1995-06-12,621591,"sa656043"
"187","Alfred Vega","Yankees (R)",2001-01-19,678758,"sa3006495"
"188","Alfredi Jimenez","- - -",1999-10-19,678085,"sa3006479"
"189","Alfredo Castaneda","Padres (R)",2000-07-10,678388,"sa3006120"
"190","Alfredo Colorado","Cubs (R)",1996-06-22,655310,"sa830006"
"191","Alfredo Garcia","Rockies (R)",1999-07-22,672865,"sa3003045"
"192","Alfredo Silva","- - -",1998-07-27,665873,"sa917885"
"193","Alfredo Tavarez","Dodgers (A)",1997-11-27,668553,"sa918485"
"194","Algenis Martinez","- - -",1993-09-12,642660,"sa737233"
"195","Alis Atagua","Brewers (R)",2001-03-14,680982,"sa3007849"
"196","Allan Beltre","Reds (R)",1999-09-12,678366,"sa3006356"
"197","Allan Winans","Mets (R)",1995-08-10,642216,"sa3007580"
"198","Allen Montgomery","- - -",1996-08-15,682614,"sa3008245"
"199","Allen Smoot","Rays (A-)",1994-04-06,677061,"sa3004523"
"200","Allinson Benitez","Cardinals (R)",1999-11-04,672738,"sa3003024"
"201","Alonso Garcia","Cubs (R)",1998-05-30,653247,"sa824770"
"202","Alvaro Ferreras","Giants (R)",1998-02-05,678282,"sa3008481"
"203","Alvaro Galindo","Blue Jays (R)",1998-02-25,660800,"sa873333"
"204","Alvaro Leal","Red Sox (R)",2000-04-05,679888,"sa3007844"
"205","Alvaro Rubalcaba","Angels (A)",1995-04-24,682581,"sa3007882"
"206","Alvaro Seijas","Cardinals (A)",1998-10-10,661099,"sa861440"
"207","Alvery De Los Santos","Blue Jays (R)",1999-07-18,672461,"sa3004828"
"208","Amilcar Cruz","- - -",1996-03-28,669856,"sa919203"
"209","Amilcar Gaxiola","Mexican (AAA)",1990-10-27,554230,"sa510464"
"210","Anderson Acevedo","Cubs (R)",1993-09-30,665322,"sa877830"
"211","Anderson Amarista","- - -",1998-09-15,665915,"sa917061"
"212","Anderson Bido","Rockies (R)",1999-05-07,675525,"sa3004204"
"213","Anderson Mercedes","Mariners (R)",1998-12-23,681655,"sa3005711"
"214","Anderson Munoz","Yankees (R)",1998-08-04,674468,"sa3007840"
"215","Anderson Nunez","- - -",1997-12-23,670911,"sa923057"
"216","Anderson Parra","Cubs (R)",1999-04-17,672872,"sa3002682"
"217","Anderson Paulino","Royals (R)",1998-09-12,678255,"sa3007991"
"218","Anderson Pilar","- - -",1998-03-02,666768,"sa917899"
"219","Anderson Polanco","Indians (A+)",1992-09-06,606198,"sa596949"
"220","Anderson Reynoso","- - -",1997-11-25,665978,"sa919025"
"221","Anderson Severino","- - -",1994-09-17,644429,"sa838671"
"222","Andersson Espinal","Angels (R)",1999-09-01,672564,"sa3002987"
"223","Andre Jackson","- - -",1996-05-01,656578,"sa829605"
"224","Andre Scrubb","- - -",1995-01-13,668687,"sa873285"
"225","Andres Arrieta","- - -",1998-01-10,678272,"sa3005817"
"226","Andres Avila","Mexican (AAA)",1990-06-20,584176,"sa541874"
"227","Andres Diaz","Royals (R)",2001-07-06,681609,"sa3006159"
"228","Andres Falcon","Reds (R)",1997-10-22,670544,"sa3006632"
"229","Andres German","- - -",1997-05-16,672410,"sa3002937"
"230","Andres Guerra","Blue Jays (R)",1997-06-03,662928,"sa873330"
"231","Andres Jimenez","Red Sox (R)",1998-10-23,665992,"sa917163"
"232","Andres Munoz","- - -",1999-01-16,662253,"sa919548"
"233","Andres Nunez","- - -",1995-09-20,656804,"sa3006796"
"234","Andres Pena","Angels (R)",1999-10-22,675529,"sa3003155"
"235","Andres Santiago","- - -",1989-10-26,519246,"sa389212"
"236","Andres Sotillet","- - -",1997-03-02,666005,"sa917861"
"237","Andres Sthormes","Tigers (A+)",1996-08-07,641288,"sa736554"
"238","Andrew Aplin","Mariners (AAA)",1991-03-21,545331,"sa502787"
"239","Andrew Beckwith","- - -",1995-03-22,676079,"sa3004206"
"240","Andrew Bernstein","Rays (R)",1995-12-14,682892,"sa3008304"
"241","Andrew Brown","- - -",1997-10-24,669153,"sa918255"
"242","Andrew Budier","Dodgers (R)",1999-10-20,678292,"sa3006111"
"243","Andrew Cabezas","Twins (R)",1996-12-05,663716,"sa3007461"
"244","Andrew Case","- - -",1993-01-06,647188,"sa829881"
"245","Andrew Church","- - -",1994-10-07,641455,"sa737545"
"246","Andrew Ciolli","Orioles (R)",1996-03-28,682231,"sa3007623"
"247","Andrew Deramo","Blue Jays (A)",1995-05-26,670310,"sa918673"
"248","Andrew Edwards","- - -",1991-10-07,643294,"sa738219"
"249","Andrew Gist","- - -",1995-03-28,669031,"sa913053"
"250","Andrew Guillotte","Blue Jays (AA)",1993-03-30,665039,"sa876089"
"251","Andrew Gutierrez","Mexican (AAA)",1993-10-04,675870,"sa3002587"
"252","Andrew Istler","- - -",1992-09-18,595995,"sa827457"
"253","Andrew Jordan","- - -",1997-08-03,663473,"sa875613"
"254","Andrew Karp","- - -",1995-09-30,656604,"sa3007707"
"255","Andrew Lantrip","- - -",1995-05-11,641774,"sa3008065"
"256","Andrew Lee","Nationals (A)",1993-12-02,622230,"sa856275"
"257","Andrew McDonald","Reds (R)",1994-12-24,641845,"sa857612"
"258","Andrew Mitchell","- - -",1994-10-23,641886,"sa3007801"
"259","Andrew Morales","- - -",1993-01-16,656762,"sa828705"
"260","Andrew Perez","- - -",1997-07-25,680970,"sa3006640"
"261","Andrew Politi","Red Sox (A-)",1996-06-04,681555,"sa3007243"
"262","Andrew Potter","Mexican (AAA)",1994-02-09,621100,"sa658839"
"263","Andrew Ryan","Mets (R)",1996-09-14,682417,"sa3007784"
"264","Andrew Schwaab","- - -",1993-02-08,665321,"sa857571"
"265","Andrew Sopko","- - -",1994-08-07,621127,"sa658286"
"266","Andrew Summerville","Cardinals (A)",1995-09-04,657021,"sa829686"
"267","Andrew Thome","Astros (AAA)",1993-01-13,657042,"sa827462"
"268","Andrew Tomasovich","Athletics (A+)",1993-09-24,664193,"sa875302"
"269","Andrew Wantz","- - -",1995-10-13,681806,"sa3006703"
"270","Andriu Marin","Twins (R)",1998-07-06,660810,"sa872815"
"271","Andro Cutura","Twins (A+)",1993-08-22,656345,"sa827476"
"272","Andry Cuevas","Reds (R)",1998-08-04,673035,"sa3003054"
"273","Andry Rondon","Cubs (R)",1995-09-16,658147,"sa830157"
"274","Andy Cox","- - -",1993-10-23,665141,"sa876303"
"275","Andy Hernandez","Cubs (R)",1999-11-29,680624,"sa3006509"
"276","Andy McGuire","Blue Jays (R)",1994-12-02,624511,"sa3008048"
"277","Andy Ravel","- - -",1994-10-12,641998,"sa738700"
"278","Andy Reyes","Phillies (R)",2000-03-11,678833,"sa3006134"
"279","Andy Rohloff","Giants (R)",1996-07-17,677019,"sa3004677"
"280","Andy Rubio","Indians/Brewers (R)",2001-02-15,680655,"sa3006639"
"281","Andy Salcido","Mexican (AAA)",1991-05-04,678450,"sa3005407"
"282","Andy Santana","Tigers (R)",1999-10-27,672458,"sa3002957"
"283","Andy Toelken","- - -",1996-01-15,674632,"sa3007218"
"284","Aneudis Beard","Rangers (R)",1998-01-30,673881,"sa3003125"
"285","Aneudy Acosta","Giants (R)",1996-04-07,667317,"sa917759"
"286","Aneudy Duarte","Rockies (R)",1997-10-20,665897,"sa917063"
"287","Aneurys Zabala","- - -",1996-12-21,656008,"sa828514"
"288","Anfernee Benitez","- - -",1995-07-24,622365,"sa657700"
"289","Angel Acevedo","- - -",1998-09-19,667686,"sa917893"
"290","Angel Araiza","Mexican (AAA)",1989-08-02,584991,"sa542183"
"291","Angel Baptista","Rangers (R)",2001-03-21,678721,"sa3006196"
"292","Angel Cuenca","- - -",2001-07-10,681450,"sa3006414"
"293","Angel De Jesus","- - -",1997-02-13,669804,"sa921876"
"294","Angel Duno","Athletics (A+)",1994-01-10,622169,"sa657211"
"295","Angel Felipe","Rays (R)",1997-08-30,665734,"sa881181"
"296","Angel German","Pirates (A+)",1996-05-25,642549,"sa739256"
"297","Angel Guillen","Nationals (A-)",1997-01-24,651003,"sa828481"
"298","Angel Landazuri","Mexican (AAA)",1994-03-12,680026,"sa549571"
"299","Angel Macuare","Astros (R)",2000-03-03,672836,"sa3003039"
"300","Angel Martinez","Pirates (R)",1996-11-14,666804,"sa917368"
"301","Angel Obando","Yankees (R)",1999-01-19,679752,"sa3006637"
"302","Angel Ortega","Cardinals (R)",1999-11-18,672739,"sa3003025"
"303","Angel Ozuna","Tigers (R)",1998-09-25,674655,"sa3003151"
"304","Angel Padron","Red Sox (A)",1997-09-16,660689,"sa873319"
"305","Angel Perdomo","Blue Jays (A+)",1994-05-07,622780,"sa658084"
"306","Angel Ramirez","Rays (R)",1996-12-25,672655,"sa3003010"
"307","Angel Reyes","- - -",1997-10-17,681938,"sa3006985"
"308","Angel Rodriguez","- - -",1998-01-28,660570,"sa871630"
"309","Angel Rodriguez","Mexican (AAA)",1993-05-13,670951,"sa922462"
"310","Angel Rondon","- - -",1997-12-01,667373,"sa917908"
"311","Angel Sosa","Red Sox (R)",2001-02-23,678629,"sa3006126"
"312","Angel Suero","Pirates (R)",1999-08-27,672846,"sa3005429"
"313","Angel Ventura","- - -",1993-04-07,606226,"sa597505"
"314","Angel Zerpa","Royals (R)",1999-09-27,672582,"sa3002993"
"315","Angello Infante","Athletics (R)",1999-04-16,666690,"sa916705"
"316","Angelo Mora","Dodgers (AAA)",1993-02-25,606196,"sa597177"
"317","Anthony Bender","Royals (A+)",1995-02-03,669622,"sa918438"
"318","Anthony Carter","Mexican (AAA)",1986-04-04,457580,"sa302341"
"319","Anthony Castro","- - -",1995-04-13,621593,"sa656041"
"320","Anthony Escobar","Twins (R)",2000-08-25,678673,"sa3005691"
"321","Anthony Kay","- - -",1995-03-21,641743,"sa738470"
"322","Anthony Marzi","- - -",1992-11-27,661333,"sa884740"
"323","Anthony McIver","- - -",1992-04-08,664999,"sa875625"
"324","Anthony Miller","Indians (A+)",1994-10-04,664970,"sa875767"
"325","Anthony Misiewicz","- - -",1994-11-01,664948,"sa874099"
"326","Anthony Shew","- - -",1993-11-03,670651,"sa921212"
"327","Anthony Trompiz","Cardinals (R)",1997-11-20,665526,"sa879106"
"328","Anton Kuznetsov","Phillies (A-)",1998-05-26,672412,"sa3004331"
"329","Antonio Canizales","Phillies (R)",1998-01-24,668601,"sa923371"
"330","Antonio Cardenas","Diamondbacks (R)",1999-12-24,672474,"sa3002681"
"331","Antonio Garzon","- - -",1985-03-07,511648,"sa509479"
"332","Antonio Guzman","Mexican (AAA)",1987-12-15,524788,"sa507037"
"333","Antonio Hernandez","Dodgers (R)",1999-09-27,672598,"sa3002788"
"334","Antonio Jimenez","Rays (R)",2001-05-06,682607,"sa3008074"
"335","Antonio Nunez","Astros (AAA)",1993-01-10,657701,"sa829188"
"336","Antonio Placencia","Astros (R)",1999-08-17,683135,"sa3008583"
"337","Antonio Pujols","Orioles (R)",1998-01-27,672388,"sa3002929"
"338","Antonio Santos","- - -",1996-10-06,665733,"sa881171"
"339","Antonio Villalba","Mets (R)",1999-07-10,681689,"sa3005884"
"340","Anyelo Gomez","Yankees (AAA)",1993-03-01,642667,"sa737475"
"341","Anyelo Luna","Yankees (R)",1997-12-16,672875,"sa3003048"
"342","Argelis Herrera","Yankees (R)",1998-10-17,665626,"sa916946"
"343","Argenis Angulo","Indians (AA)",1994-02-26,656196,"sa829470"
"344","Argenis Batista","Red Sox (R)",2000-08-07,681658,"sa3006518"
"345","Argenis Bravo","- - -",2000-01-07,677716,"sa3005203"
"346","Argenis Liriano","- - -",1996-09-30,678230,"sa3006104"
"347","Argenis Romano","- - -",1995-06-16,660863,"sa872882"
"348","Ariel Gracia","Mexican (AAA)",1994-09-17,622739,"sa657629"
"349","Ariel Mojica","Reds (R)",1998-09-20,673364,"sa3003099"
"350","Ariel Vega","Brewers (R)",2001-04-04,681605,"sa3008579"
"351","Arik Sikula","Mexican (AAA)",1988-12-21,607724,"sa579472"
"352","Arlinthon De Dios","Pirates (R)",2000-01-24,678809,"sa3005446"
"353","Armando Acosta","Red Sox (R)",1998-10-11,683036,"sa3008541"
"354","Armando Rivero","Mexican (AAA)",1988-02-01,633831,"sa739701"
"355","Arnaldo Hernandez","- - -",1996-02-09,642511,"sa828154"
"356","Aron McRee","White Sox (A)",1993-10-29,670537,"sa919545"
"357","Art Warren","Mariners (AA)",1993-03-23,605521,"sa875374"
"358","Arturo Barradas","Mexican (AAA)",1987-08-10,491707,"sa328589"
"359","Arturo Florentino","- - -",1985-01-03,504384,"sa3000633"
"360","Arvicent Perez","Tigers (A-)",1994-01-14,621705,"sa655950"
"361","Ashton Goudeau","- - -",1992-07-23,623485,"sa658634"
"362","Augusto Calderon","Cardinals (R)",2000-10-06,680601,"sa3006406"
"363","Austin Anderson","Tigers (R)",1995-11-20,676526,"sa3007722"
"364","Austin Briggs","Athletics (R)",1995-10-10,682106,"sa3007261"
"365","Austin Coley","- - -",1992-07-14,643261,"sa738368"
"366","Austin Conway","- - -",1995-01-16,682131,"sa3006837"
"367","Austin Cox","Royals (R)",1997-03-28,680735,"sa3007777"
"368","Austin DeCarr","Yankees (A)",1995-03-14,656362,"sa828795"
"369","Austin Drury","- - -",1997-08-13,682200,"sa3008043"
"370","Austin Franklin","Rays (A)",1997-10-02,669140,"sa917977"
"371","Austin Gardner","- - -",1994-12-02,674332,"sa3004459"
"372","Austin Glorius","- - -",1993-05-10,666067,"sa883131"
"373","Austin Hamilton","- - -",1993-08-11,677366,"sa3004717"
"374","Austin Hansen","Astros (A-)",1996-08-25,667712,"sa3006956"
"375","Austin House","Rockies (AAA)",1991-01-24,572934,"sa502193"
"376","Austin Hutchison","- - -",1995-04-09,676816,"sa3004018"
"377","Austin Krzeminski","Angels (A)",1996-09-30,677222,"sa3004121"
"378","Austin Lambright","Royals (R)",1994-08-26,681022,"sa3007236"
"379","Austin Mason","- - -",1993-12-10,664721,"sa875720"
"380","Austin McGeorge","- - -",1994-11-27,670041,"sa918047"
"381","Austin Moore","Rockies (A)",1994-06-21,670442,"sa918589"
"382","Austin Morales","Royals (R)",1998-01-23,672636,"sa3003003"
"383","Austin Orewiler","Reds (A)",1993-05-18,664197,"sa875673"
"384","Austin Pettibone","- - -",1992-09-10,656851,"sa827460"
"385","Austin Ross","- - -",1994-08-16,682201,"sa3007817"
"386","Austin Rubick","Brewers (R)",1997-08-11,665101,"sa875861"
"387","Austin Schulfer","Twins (R)",1995-12-22,662165,"sa3007585"
